,0,1
0,0.2785334,us_production_commercial_beef
1,0.26906934,aus_beef&veal_slaughterings
2,0.11043321,us cattle numbers(*1000)
3,0.091765225,us_commercial_avg_live_calves
4,0.061490268,us_cold_storage_beef
5,0.03791467,aus_avg_rainfall
6,0.020934235,aus_labour
7,0.018764732,"aus_exports of beef, veal and live cattle to US"
8,0.013992403,us_veganism_trend_ratio
9,0.010355041,aus_total dairy cattle and calves
10,0.009197457,us_livestock_fedral_inspected_dairy_cows
11,0.008008316,us_fed_avg_dressed_cows
12,0.0056693368,us_production_commercial_total red meat
13,0.004988962,aus_fed_rd
14,0.0042005735,us_fed_avg_dressed_heifers
15,0.0030864794,us_fed_avg_dressed_calves
16,0.0030570626,aus_beef&veal_production
17,0.002685823,aus_Meat Produced ;  CALVES ;  Total (State) ;
18,0.0025401642,us_commercial_avg_live_cattle
19,0.0023811767,aus_feed
20,0.0023537583,aus_pasture
21,0.0022063383,us_fed_avg_dressed_cattle
22,0.0020909295,us_production_commercial_veal
23,0.001994036,aus_population_natural_increase
24,0.0019896517,us_livestock_commercial_bulls and stags
25,0.0019737943,us_beef
26,0.001781551,us_fed_avg_dressed_steers
27,0.0016434884,us_livestock_commercial_beef
28,0.0014515972,us_livestock_fedral_inspected_heifers
29,0.0014249255,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Seasonally adjusted (tonnes)
30,0.0013473256,us_veganism
31,0.0013033531,aus_min_temp
32,0.0012004653,us_livestock_commercial_dairy
33,0.0011740144,aus_state_rd
34,0.0011597276,aus_population_net overseas migration
35,0.0010461266,aus_population_overseas_arrivals
36,0.0010107029,us_cold_storage_veal
37,0.0009784254,us_livestock_commercial_lambs and yearlings
38,0.0009439595,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Original (tonnes)
39,0.0009250256,us_production_fedral_inspected_total poultry
40,0.00089660025,us_fed_avg_live_calves
41,0.0008851626,us_production_fedral_inspected_total red meat
42,0.0008453806,us beef Per Capita Consumption
43,0.0008423849,aus_max_temp
44,0.00082818355,aus_Meat Produced ;  CALVES ;  Total (State) ; Seasonally Adjusted
45,0.0008129286,us_production_fedral_inspected_beef
46,0.00069837784,australia cattle numbers
47,0.0006944086,us_livestock_commercial_cattle
48,0.00066675,us import of beef kt (cw)
49,0.00066551863,us_livestock_commercial_calves
50,0.00062759174,us_production_fedral_inspected_total red meat and poultry
51,0.000605323,us_livestock_fedral_inspected_cattle
52,0.00048402132,us_livestock_commercial_steers
53,0.00045018626,us_livestock_commercial_mature sheep
54,0.00041211577,us_livestock_fedral_inspected_steers
55,0.00036177688,aus_apparent consumption
56,0.00015614723,us_livestock_fedral_inspected_beef
57,0.0,us_total red meat and poultry
58,0.0,us_total red meat
59,0.0,us_production_fedral_inspected_veal
60,0.0,us_population
61,0.0,us_livestock_fedral_inspected_calves
62,0.0,us_livestock_fedral_inspected_bulls and stags
63,0.0,us_livestock_commercial_heifers
64,0.0,us_income per capita
65,0.0,us_fed_avg_live_cattle
66,0.0,us_fed_avg_dressed_bulls and stags
67,0.0,aus_uni_rd
68,0.0,aus_tse
69,0.0,aus_total beef cattle and calves
70,0.0,aus_pse
71,0.0,aus_population_estimated resident population
72,0.0,aus_cse
73,0.0,aus_beef&veal_exports
74,0.0,aus_beef&veal_average weight
75,0.0,"Value of Australian exports of beef and veal, and live cattle to US "
